,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR
0,0.8813,0.8867,0.8876,0.8926,0.8476,0.8563,0.8865,0.8918,0.8542,0.8523,0.8879,0.8961,0.8741,0.8884,0.8666,0.8687,0.8882,0.8912,0.8791,0.8744,0.8967,0.8955,0.8707,0.8805,0.8474,0.857,0.8747,0.8847,0.8629,0.8676,0.9372,0.9448,0.9251,0.9344,0.9516,0.9531
1,0.8797,0.888,0.8867,0.8923,0.8687,0.8761,0.8761,0.8578,0.8497,0.8615,0.876,0.8875,0.8747,0.8861,0.8558,0.858,0.874,0.8741,0.882,0.8833,0.8697,0.8697,0.8778,0.8895,0.8791,0.8831,0.8825,0.8861,0.8675,0.8742,0.9343,0.9428,0.9275,0.9359,0.9509,0.9534
2,0.8855,0.8934,0.8968,0.9069,0.8617,0.8669,0.8742,0.8759,0.8466,0.8495,0.8822,0.8914,0.8612,0.8799,0.8396,0.8364,0.88,0.8901,0.8805,0.8695,0.8775,0.8823,0.875,0.8771,0.8708,0.8794,0.8832,0.8887,0.8549,0.8637,0.9337,0.9416,0.9211,0.9321,0.9497,0.9526
3,0.8826,0.8891,0.888,0.8934,0.8691,0.8796,0.8659,0.864,0.8409,0.8489,0.8756,0.8858,0.8906,0.8948,0.8664,0.8645,0.8866,0.8954,0.8753,0.8723,0.8711,0.8661,0.8878,0.8918,0.889,0.8923,0.8794,0.8788,0.8669,0.8651,0.9344,0.9421,0.9258,0.9358,0.9502,0.9527
4,0.8884,0.8965,0.8818,0.8818,0.8636,0.8692,0.8848,0.8819,0.8398,0.8447,0.8866,0.8977,0.8787,0.8873,0.8665,0.8653,0.8839,0.8885,0.8823,0.8751,0.8771,0.8799,0.8884,0.8915,0.8727,0.8763,0.8609,0.8658,0.8666,0.8751,0.9366,0.9438,0.9256,0.935,0.9518,0.9541
