,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR
0,0.854,0.8751,0.8737,0.8985,0.7306,0.7646,0.8098,0.8376,0.7543,0.7879,0.9009,0.9215,0.9031,0.9238,0.6968,0.7409,0.6753,0.7274,0.8163,0.8433,0.759,0.7701,0.842,0.8711,0.8882,0.9082,0.8684,0.8904,0.6416,0.7018,0.9585,0.9698,0.9185,0.9367,0.9565,0.9667
1,0.8509,0.8763,0.8741,0.8969,0.686,0.7374,0.7991,0.8309,0.724,0.7657,0.9054,0.9214,0.8953,0.9216,0.7207,0.7684,0.726,0.7733,0.8148,0.8294,0.744,0.7707,0.8394,0.8609,0.8834,0.904,0.8881,0.9055,0.6635,0.7205,0.9578,0.9696,0.9188,0.9384,0.9547,0.9656
2,0.861,0.8851,0.8848,0.8979,0.6941,0.7377,0.8151,0.8476,0.7441,0.783,0.9002,0.9203,0.8923,0.9203,0.7321,0.7683,0.7101,0.7485,0.815,0.8431,0.7534,0.7798,0.8369,0.8633,0.8843,0.9084,0.871,0.8969,0.6731,0.7172,0.9599,0.9709,0.9213,0.9382,0.9552,0.9656
3,0.8624,0.8821,0.8778,0.903,0.6741,0.7184,0.8086,0.8429,0.7865,0.823,0.8895,0.9122,0.8974,0.9203,0.7245,0.7675,0.6735,0.7293,0.8027,0.8323,0.7865,0.8034,0.8554,0.8884,0.8693,0.8945,0.8848,0.9085,0.6543,0.7245,0.9584,0.969,0.918,0.9338,0.9547,0.9655
4,0.8592,0.8864,0.8666,0.8784,0.726,0.7649,0.8105,0.8484,0.7489,0.7901,0.8947,0.9173,0.8943,0.9166,0.7244,0.7539,0.6759,0.7226,0.8114,0.8346,0.6078,0.6803,0.8226,0.8537,0.8706,0.8979,0.8761,0.9005,0.6839,0.7336,0.9578,0.9694,0.9186,0.9356,0.9536,0.9645
