,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR,AUC,AUPR
0,0.8557,0.3189,0.8797,0.378,0.812,0.2578,0.7386,0.146,0.6544,0.0979,0.8123,0.2327,0.8155,0.2261,0.5406,0.0724,0.8089,0.1868,0.7719,0.1265,0.7538,0.1502,0.8154,0.2586,0.7835,0.2035,0.7352,0.1457,0.8154,0.2212,0.9374,0.6845,0.9237,0.5234,0.947,0.6925
1,0.867,0.2922,0.8627,0.4001,0.8176,0.2806,0.7629,0.1597,0.7164,0.1252,0.8097,0.2267,0.8493,0.3028,0.4814,0.0523,0.7887,0.1871,0.8087,0.1891,0.772,0.2139,0.8459,0.2818,0.7926,0.1816,0.601,0.0965,0.8355,0.2373,0.9368,0.6727,0.9272,0.5509,0.9465,0.7059
2,0.8766,0.3557,0.8684,0.3518,0.815,0.2457,0.7682,0.1834,0.6942,0.1102,0.8278,0.2465,0.841,0.2836,0.5932,0.0683,0.8067,0.2132,0.8304,0.2007,0.7799,0.1834,0.8379,0.2417,0.7858,0.2056,0.7367,0.1389,0.7885,0.1645,0.9357,0.6799,0.9323,0.567,0.949,0.7058
3,0.861,0.3094,0.8827,0.4157,0.8201,0.2591,0.6967,0.1037,0.6429,0.0847,0.8595,0.3668,0.8084,0.2157,0.4847,0.0555,0.7752,0.1888,0.8008,0.184,0.7391,0.1447,0.8566,0.3163,0.8291,0.2439,0.7392,0.1514,0.7929,0.196,0.9351,0.6808,0.9301,0.5497,0.9446,0.7061
4,0.8385,0.3162,0.8594,0.403,0.8048,0.2318,0.7471,0.1601,0.6321,0.0977,0.8331,0.2824,0.8238,0.241,0.5186,0.0577,0.8145,0.1892,0.8113,0.1965,0.7365,0.1316,0.8176,0.241,0.7453,0.1487,0.7268,0.1297,0.8229,0.2274,0.9396,0.6737,0.9303,0.5571,0.948,0.7011
