GENE PRODUCT ID,GO TERM
A1L0T0,GO:0009099
A1L167,GO:0000209
A1L188,GO:0032981
A1L190,GO:0007130
A1L190,GO:0007131
A1L190,GO:0007283
A1L390,GO:0030334
A1L390,GO:0051056
A1L390,GO:2000114
A1L3X0,GO:0019367
A1L3X0,GO:0030148
A1L3X0,GO:0034625
A1L3X0,GO:0034626
A1L3X0,GO:0035338
A1L3X0,GO:0042761
A1L3X4,GO:0006882
A1L3X4,GO:0010273
A1L3X4,GO:0071276
A1L3X4,GO:0071280
A1L3X4,GO:0071294
A1L4H1,GO:0006952
A1L4H1,GO:0032717
A1L4H1,GO:0042494
A1X283,GO:0001501
A1X283,GO:0001654
A1X283,GO:0006801
A1X283,GO:0007507
A1X283,GO:0022617
A1X283,GO:0042554
A1X283,GO:0060348
A1X283,GO:0060612
A1X283,GO:0071800
A1X283,GO:0072657
A1XBS5,GO:0007007
A1XBS5,GO:0035108
A1XBS5,GO:0045880
A1XBS5,GO:0060271
A1XBS5,GO:0061024
A1XBS5,GO:0097749
A1YPR0,GO:0006357
A1YPR0,GO:0008285
A1Z1Q3,GO:0006974
A1Z1Q3,GO:0042278
A1Z1Q3,GO:0051725
A1Z1Q3,GO:0140291
A2A288,GO:0061158
A2A2Y4,GO:0031032
A2A3K4,GO:0060271
A2A3N6,GO:0046854
A2AJT9,GO:0045944
A2PYH4,GO:0000712
A2RRD8,GO:0006357
A2RRP1,GO:0000956
A2RRP1,GO:0006890
A2RRP1,GO:2000623
A2RTX5,GO:0006435
A2RTX5,GO:0008150
A2RU49,GO:0006554
A2RU54,GO:0006357
A2RUB6,GO:0001578
A2RUB6,GO:0001895
A2RUB6,GO:0060271
A2RUB6,GO:1903564
A2RUC4,GO:0031591
A2RUH7,GO:0008150
A2RUS2,GO:0008333
A2RUS2,GO:0030163
A2RUS2,GO:0032483
A2VDF0,GO:0006004
A2VDF0,GO:0036065
A3KFT3,GO:0050911
A3KN83,GO:0006355
A3KN83,GO:0008150
A4D0T7,GO:0060339
A4D126,GO:0035269
A4D1B5,GO:0030162
A4D1B5,GO:1902004
A4D1P6,GO:0006511
A4D1P6,GO:0042176
A4D1P6,GO:0045022
A4D1S5,GO:0000045
A4D1S5,GO:0006886
A4D256,GO:0000226
A4D256,GO:0007096
A4D256,GO:0032467
A4D256,GO:0060271
A4D263,GO:0007283
A4D263,GO:0008150
A4D2B0,GO:0008334
A4D2B0,GO:0031124
A4D2B0,GO:1900087
A4D2G3,GO:0050911
A4GXA9,GO:0000712
A4GXA9,GO:0006302
A4GXA9,GO:0031297
A4GXA9,GO:0031573
A4UGR9,GO:0007015
A4UGR9,GO:0008150
A5A3E0,GO:0007409
A5A3E0,GO:0048870
A5D6W6,GO:0008654
A5D6W6,GO:0010890
A5D6W6,GO:0019915
A5D6W6,GO:0034389
A5D6W6,GO:0140042
A5D8V6,GO:0006612
A5D8V6,GO:0006623
A5D8V6,GO:0016236
A5D8V6,GO:0036258
A5D8V6,GO:0039702
A5D8V6,GO:0043162
A5D8V6,GO:0043328
A5D8V6,GO:0090148
A5D8V7,GO:0007368
A5D8V7,GO:0036158
A5D8V7,GO:0003341
A5D8V7,GO:1902017
A5LHX3,GO:0006508
A5LHX3,GO:0043161
A5PKW4,GO:0007165
A5PL33,GO:0008150
A5PLL7,GO:0008611
A5PLN9,GO:0006888
A5PLN9,GO:0006901
A5PLN9,GO:0099022
A5X5Y0,GO:0007210
A5X5Y0,GO:0098662
A5YKK6,GO:0000122
A5YKK6,GO:0000288
A5YKK6,GO:0000289
A5YKK6,GO:0010606
A5YKK6,GO:0017148
A5YKK6,GO:0033147
A5YKK6,GO:0035195
A5YKK6,GO:0048387
A5YKK6,GO:0060213
A5YKK6,GO:0061014
A5YKK6,GO:1900153
A5YKK6,GO:2000036
A5YM72,GO:0035499
A5YM72,GO:0006548
A6H8Y1,GO:0070898
A6NC42,GO:0010468
A6NC97,GO:0031048
A6NC98,GO:0001819
A6NC98,GO:0030705
A6NC98,GO:0031122
A6NC98,GO:0042102
A6NC98,GO:0050870
A6NCC3,GO:0007030
A6NCE7,GO:0000045
A6NCE7,GO:0006995
A6NCE7,GO:0097352
A6NCK2,GO:0010468
A6NCK2,GO:0016567
A6NCK2,GO:0045087
A6NCL1,GO:0008156
A6NCL1,GO:0045786
A6NCS4,GO:0006357
