GENE PRODUCT ID,GO TERM
A2RUB6,GO:0090543
A2RUC4,GO:0005737
A2RUH7,GO:0036379
A2RUS2,GO:0031410
A2RUS2,GO:0005829
A2VDF0,GO:0005829
A3KFT3,GO:0005886
A3KN83,GO:0005575
A3KN83,GO:0005634
A4D0T7,GO:0005789
A4D0T7,GO:0031966
A4D126,GO:0005829
A4D1B5,GO:0005802
A4D1P6,GO:0031901
A4D1P6,GO:0031902
A4D1P6,GO:0005829
A4D1P6,GO:0010008
A4D1S5,GO:0012505
A4D1S5,GO:0070062
A4D256,GO:0000922
A4D256,GO:0005730
A4D256,GO:0005737
A4D256,GO:0005813
A4D256,GO:0072686
A4D263,GO:0005575
A4D2B0,GO:0005634
A4D2B0,GO:0005737
A4D2G3,GO:0005886
A4GXA9,GO:0043596
A4GXA9,GO:1905347
A4GXA9,GO:0048476
A4UGR9,GO:0001725
A4UGR9,GO:0005925
A5A3E0,GO:0005737
A5A3E0,GO:0005884
A5A3E0,GO:0016020
A5A3E0,GO:0030424
A5A3E0,GO:0045202
A5A3E0,GO:0005615
A5A3E0,GO:0070062
A5A3E0,GO:0072562
A5A3E0,GO:0035267
A5D6W6,GO:0005789
A5D8V6,GO:0000813
A5D8V6,GO:0010008
A5D8V6,GO:0070062
A5D8V7,GO:0035253
A5D8V7,GO:0036064
A5D8V7,GO:0097542
A5D8V7,GO:0005814
A5D8V7,GO:0005929
A5D8V7,GO:0005930
A5D8V7,GO:0120228
A5LHX3,GO:0005634
A5LHX3,GO:0005829
A5LHX3,GO:0019774
A5PKW4,GO:0032154
A5PKW4,GO:0032587
A5PL33,GO:0005575
A5PLL7,GO:0005789
A5PLL7,GO:0005783
A5PLN9,GO:0005737
A5PLN9,GO:0005829
A5PLN9,GO:1990071
A5PLN9,GO:1990072
A5X5Y0,GO:0005886
A5X5Y0,GO:0043005
A5X5Y0,GO:0045202
A5X5Y0,GO:1904602
A5X5Y0,GO:1902495
A5YKK6,GO:0000932
A5YKK6,GO:0005615
A5YKK6,GO:0005829
A5YKK6,GO:0016020
A5YKK6,GO:0030014
A5YKK6,GO:0030015
A5YM72,GO:0005575
A5YM72,GO:0005829
A6H8Y1,GO:0005654
A6H8Y1,GO:0000126
A6NC42,GO:0005737
A6NC97,GO:0005634
A6NC98,GO:0005737
A6NC98,GO:0005813
A6NC98,GO:0005654
A6NC98,GO:0005829
A6NC98,GO:0016020
A6NCC3,GO:0000137
A6NCC3,GO:0005801
A6NCC3,GO:0032580
A6NCE7,GO:0000421
A6NCE7,GO:0043231
A6NCK2,GO:0005737
A6NCL1,GO:0005634
A6NCS4,GO:0005634
A6NCS4,GO:0000785
A6NCW0,GO:0005634
A6NCW0,GO:0005829
A6NCW7,GO:0005634
A6NCW7,GO:0005829
A6ND01,GO:0009897
A6ND01,GO:0005576
A6ND01,GO:0005886
A6ND36,GO:0005634
A6ND36,GO:0005829
A6NDE4,GO:0005634
A6NDE4,GO:0005654
A6NDE4,GO:0005730
A6NDE4,GO:0005681
A6NDG6,GO:0005737
A6NDI0,GO:0005737
A6NDU8,GO:0005654
A6NDU8,GO:0005829
A6NDV4,GO:0005886
A6NDV4,GO:0009986
A6NDX5,GO:0005634
A6NDY0,GO:0005634
A6NDZ8,GO:0005634
A6NE82,GO:0005634
A6NEC2,GO:0005615
A6NEC2,GO:0005737
A6NEC2,GO:0016020
A6NEC2,GO:0070062
A6NEQ0,GO:0005654
A6NEQ0,GO:0005730
A6NEQ0,GO:0005681
A6NF01,GO:0005643
A6NF36,GO:0005575
A6NFA1,GO:0016020
A6NFA1,GO:0005886
A6NFA1,GO:0031090
A6NFC9,GO:0005886
A6NFD8,GO:0005634
A6NFD8,GO:0000785
A6NFH5,GO:0005634
A6NFH5,GO:0005829
A6NFI3,GO:0005634
A6NFN3,GO:0005634
A6NFN3,GO:0005737
A6NFQ2,GO:0005886
