,AUC,AUPR,ACC,MCC,F1
0,0.9003,0.7398,0.8812,0.5827,0.6413
1,0.904,0.7506,0.8816,0.5959,0.6634
2,0.9043,0.7518,0.8846,0.6063,0.672
3,0.9029,0.7467,0.8804,0.5789,0.6369
4,0.9022,0.746,0.8769,0.584,0.6564
