,AUC,AUPR,ACC,MCC,F1
0,0.5482,0.6444,0.5276,0.0743,0.5392
1,0.5744,0.6693,0.5573,0.0876,0.6225
2,0.6632,0.7408,0.6201,0.2268,0.6652
3,0.6129,0.7034,0.5849,0.1189,0.6737
4,0.6133,0.6982,0.5804,0.1518,0.6238
