,AUC,AUPR,ACC,MCC,F1
0,0.9097,0.9106,0.84,0.6808,0.8437
1,0.9102,0.9194,0.8305,0.6635,0.8375
2,0.9118,0.9109,0.8438,0.6877,0.8453
3,0.9122,0.9093,0.852,0.7056,0.8568
4,0.9088,0.9026,0.842,0.6847,0.8455
