,AUC,AUPR,ACC,MCC,F1
0,0.5042,0.6229,0.4991,0.0164,0.5109
1,0.4726,0.5784,0.463,0.0075,0.3525
2,0.5072,0.5956,0.4764,0.0034,0.4326
3,0.5292,0.6169,0.4885,0.0361,0.4342
4,0.5111,0.5983,0.4923,0.0232,0.4726
