,AUC,AUPR,ACC,MCC,F1
0,0.8875,0.7885,0.8378,0.5807,0.679
1,0.8904,0.7999,0.8436,0.5963,0.6907
2,0.8831,0.7844,0.8357,0.5777,0.6817
3,0.8846,0.7909,0.8411,0.5894,0.6851
4,0.8692,0.7593,0.8236,0.5512,0.6681
