AUC,AUPR,ACC,MCC,F1
0.9516,0.9531,0.8783,0.7638,0.8664
0.9509,0.9534,0.8765,0.7594,0.8649
0.9497,0.9526,0.876,0.7586,0.8642
0.9502,0.9527,0.8713,0.7512,0.8576
0.9518,0.9541,0.877,0.7612,0.8649
