AUC,AUPR,ACC,MCC,F1
0.9488,0.8559,0.9144,0.7097,0.7569
0.9457,0.853,0.9146,0.7086,0.7537
0.9494,0.855,0.9145,0.7077,0.7521
0.9498,0.8563,0.9138,0.7068,0.7536
0.9468,0.8548,0.9142,0.708,0.7543
