AUC,AUPR,ACC,MCC,F1
0.9838,0.9649,0.9545,0.8775,0.9072
0.9842,0.9643,0.9543,0.8769,0.9068
0.9843,0.9646,0.9542,0.8766,0.9063
0.9845,0.9644,0.955,0.8788,0.9081
0.9879,0.9713,0.9596,0.8918,0.9184
