AUC,AUPR,ACC,MCC,F1
0.8027,0.9385,0.7214,0.3679,0.8064
0.8056,0.9393,0.7285,0.3759,0.8123
0.8051,0.9396,0.7292,0.3734,0.8132
0.8058,0.9394,0.7256,0.3733,0.8099
0.8129,0.9418,0.7364,0.3874,0.8186
