AUC,AUPR,ACC,MCC,F1
0.947,0.6925,0.9538,0.6115,0.6331
0.9465,0.7059,0.955,0.6146,0.6364
0.949,0.7058,0.9562,0.6288,0.6495
0.9446,0.7061,0.9557,0.6233,0.6444
0.948,0.7011,0.9545,0.6167,0.6379
