AUC,AUPR,ACC,MCC,F1
0.9565,0.9667,0.891,0.7866,0.8955
0.9547,0.9656,0.8819,0.7699,0.886
0.9552,0.9656,0.8824,0.7708,0.8864
0.9547,0.9655,0.8787,0.7643,0.8825
0.9536,0.9645,0.8773,0.7621,0.8809
