AUC,AUPR,ACC,MCC,F1
0.971,0.9764,0.9211,0.8428,0.9197
0.972,0.9763,0.9199,0.8398,0.9193
0.9746,0.9781,0.9256,0.8517,0.9244
0.9726,0.9745,0.9221,0.8445,0.9212
0.9734,0.9767,0.9249,0.8505,0.9233
