AUC,AUPR,ACC,MCC,F1
0.6675,0.7433,0.5948,0.2427,0.5736
0.6838,0.7627,0.6188,0.2795,0.6104
0.7003,0.773,0.6337,0.3023,0.6325
0.6929,0.7692,0.6248,0.2852,0.6226
0.6995,0.7705,0.623,0.2878,0.6151
