AUC,AUPR,ACC,MCC,F1
0.6895,0.6195,0.6269,0.2175,0.2268
0.7205,0.6563,0.6493,0.2929,0.2915
0.7037,0.6253,0.6318,0.226,0.26
0.7051,0.6594,0.6443,0.2567,0.3158
0.6981,0.636,0.6244,0.1953,0.2562
