AUC,AUPR,ACC,MCC,F1
0.9331,0.8611,0.8776,0.6901,0.7703
0.9447,0.8869,0.8921,0.7276,0.7981
0.9387,0.8758,0.8857,0.7104,0.7837
0.9383,0.8786,0.8838,0.7049,0.7786
0.9364,0.8708,0.8838,0.7057,0.7811
