,AUC,AUPR,ACC,MCC,F1
0,0.9274,0.8076,0.9001,0.6696,0.73
1,0.9304,0.8105,0.8994,0.6659,0.7265
2,0.9283,0.8073,0.9024,0.6724,0.7297
3,0.9285,0.8087,0.8984,0.6684,0.7308
4,0.9305,0.8123,0.9005,0.6656,0.724
