,AUC,AUPR,ACC,MCC,F1
0,0.7242,0.9067,0.6642,0.2598,0.762
1,0.7142,0.9026,0.666,0.2507,0.7647
2,0.7088,0.9011,0.6901,0.2478,0.7885
3,0.7148,0.9021,0.6733,0.2511,0.772
4,0.7126,0.9013,0.6524,0.2495,0.7511
