Uniprot_id
A5LHX3
O00141
O00222
O00238
O00311
O00329
O00408
O00443
O00444
O00459
O00487
O00506
O00591
O00750
O00763
O00767
O14578
O14649
O14672
O14684
O14744
O14757
O14764
O14818
O14842
O14920
O14965
O14976
O15111
O15146
O15151
O15197
O15254
O15264
O15379
O15399
O15492
O15496
O15530
O43174
O43293
O43318
O43353
O43497
O43521
O43526
O43570
O43613
O43614
O43683
O43741
O43924
O60218
O60285
O60313
O60331
O60341
O60391
O60427
O60563
O60658
O60674
O60678
O60840
O60885
O60911
O60939
O75116
O75164
O75385
O75460
O75469
O75582
O75676
O75762
O75874
O75907
O75909
O75914
O76039
O76074
O76083
O94804
O94806
O95067
O95180
O95263
O95271
O95551
O95819
O95835
O95977
O96013
O96017
O96020
P00338
P00352
P00374
P00519
P00533
P00734
P00740
P00742
P00746
P00747
P00748
P00749
P00750
P00797
P00915
P00918
P02708
P02766
P03372
P03951
P03952
P03956
P04049
P04070
P04150
P04350
P04626
P04629
P04637
P04798
P04818
P05067
P05091
P05093
P05106
P05107
P05129
P05177
P05181
P05413
P05556
P05771
P06213
P06239
P06241
P06276
P06401
P06493
P06737
P06748
P06756
P06870
P07099
P07148
P07333
P07339
P07384
P07437
P07477
P07478
P07550
P07711
P07741
P07858
P07900
P07947
P07948
P07949
P08069
P08172
P08173
P08183
P08235
P08238
P08240
P08246
P08253
P08254
P08473
P08514
P08581
P08588
P08631
P08648
P08684
P08709
P08842
P08908
P08912
P08913
P09211
P09237
P09619
P09769
P09874
P09917
P09958
P09960
P0DMS8
P0DPH7
P10275
P10276
P10398
P10415
P10632
P10635
P10721
P10826
P10827
P10828
P11137
P11229
P11274
P11309
P11362
P11387
P11388
P11509
P11511
P11597
P11712
P11802
P12236
P12268
P12821
P12931
P13497
P13569
P13612
P13631
P13726
P13861
P13866
P13945
P14061
P14416
P14555
P14598
P14616
P14618
P14635
P14679
P14780
P14867
P14902
P15056
P15090
P15121
P15144
P15538
P15735
P16050
P16234
P16499
P16591
P17252
P17538
P17612
P17706
P17787
P17948
P18031
P18054
P18074
P18084
P18089
P18505
P18507
P18545
P18825
P19099
P19525
P19784
P19793
P19801
P19838
P20248
P20309
P20340
P20618
P20701
P20813
P20815
P21397
P21452
P21453
P21554
P21589
P21709
P21728
P21731
P21802
P21860
P21917
P21918
P22303
P22455
P22460
P22607
P22612
P22694
P22748
P22894
P23141
P23219
P23415
P23443
P23458
P23921
P23946
P23975
P24385
P24462
P24530
P24723
P24864
P24941
P25021
P25024
P25025
P25098
P25100
P25101
P25103
P25106
P25116
P25440
P25774
P25786
P25787
P25788
P25789
P25929
P26010
P26358
P27338
P27361
P27448
P27487
P27695
P27707
P27815
P27986
P28062
P28065
P28066
P28070
P28072
P28074
P28221
P28222
P28223
P28335
P28472
P28482
P28566
