AUC,AUPR,ACC,MCC,F1
0.9452,0.7147,0.9593,0.6497,0.6695
0.9464,0.7148,0.9607,0.6574,0.6769
0.9486,0.7284,0.9603,0.6595,0.6785
0.9464,0.7226,0.9628,0.6673,0.6865
0.9513,0.7232,0.9641,0.6733,0.6922
