AUC,AUPR,ACC,MCC,F1
0.9855,0.9693,0.9575,0.8858,0.9137
0.986,0.9691,0.9584,0.8883,0.9157
0.9865,0.9704,0.9576,0.886,0.9138
0.9857,0.9691,0.9568,0.884,0.9126
0.9897,0.9747,0.9613,0.8965,0.9222
