AUC,AUPR,ACC,MCC,F1
0.9445,0.8862,0.8869,0.7161,0.7925
0.9498,0.9016,0.8989,0.7457,0.8127
0.9444,0.8864,0.8906,0.7258,0.7999
0.9445,0.892,0.8908,0.7251,0.798
0.9432,0.8878,0.8879,0.7191,0.7952
