AUC,AUPR,ACC,MCC,F1
0.974,0.9788,0.9247,0.8496,0.9235
0.9763,0.9797,0.9242,0.8485,0.9233
0.9752,0.977,0.9282,0.8567,0.9271
0.9757,0.9794,0.9279,0.8558,0.9276
0.9748,0.9782,0.9262,0.8526,0.9252
