AUC,AUPR,ACC,MCC,F1
0.7116,0.7852,0.6416,0.3203,0.639
0.7293,0.8019,0.6539,0.3336,0.6609
0.7296,0.7965,0.6566,0.3464,0.6577
0.7324,0.7978,0.6661,0.3498,0.6798
0.7204,0.7898,0.6451,0.3226,0.6463
