AUC,AUPR,ACC,MCC,F1
0.9585,0.9698,0.8935,0.7864,0.9011
0.9578,0.9696,0.8956,0.7904,0.9032
0.9599,0.9709,0.8974,0.7937,0.9052
0.9584,0.969,0.8972,0.794,0.9043
0.9578,0.9694,0.8942,0.7875,0.902
