,0,1,2,3,4
0,0.9632,0.9712,0.9685,0.9682,0.9674
1,0.9642,0.972,0.9706,0.9691,0.9668
2,0.9657,0.9748,0.9665,0.9672,0.969
3,0.9665,0.9738,0.9681,0.97,0.9694
