,0,1,2,3,4,5,6,7,8,9,10,11
0,0.9707,0.9712,0.9719,0.9645,0.9707,0.9544,0.9734,0.9724,0.9722,0.935,0.9617,0.9501
1,0.9729,0.9712,0.973,0.9669,0.9713,0.962,0.975,0.9723,0.9713,0.948,0.9642,0.9529
2,0.9724,0.9715,0.9728,0.9714,0.9729,0.9643,0.9723,0.9737,0.9729,0.9453,0.9614,0.9467
3,0.9732,0.9726,0.9741,0.971,0.973,0.9585,0.9753,0.9741,0.9743,0.9464,0.9639,0.9567
4,0.9705,0.9681,0.9695,0.9615,0.9671,0.9231,0.971,0.9707,0.9668,0.9213,0.9558,0.935
5,0.9709,0.97,0.9719,0.9708,0.9717,0.9607,0.9741,0.9722,0.9703,0.9422,0.9628,0.9563
6,0.9722,0.9705,0.9719,0.971,0.9727,0.964,0.9736,0.9726,0.9715,0.9409,0.9628,0.9538
7,0.972,0.9714,0.9719,0.9717,0.9729,0.9726,0.9733,0.9732,0.9724,0.9546,0.9672,0.9585
