,0,1,2,3,4,5
0,0.936,0.9355,0.9337,0.8678,0.9223,0.8656
1,0.9417,0.9372,0.9334,0.8706,0.9238,0.8962
2,0.9394,0.9389,0.9371,0.8828,0.9114,0.8773
3,0.9428,0.9398,0.9367,0.8606,0.9195,0.891
4,0.9327,0.9327,0.925,0.8281,0.9029,0.8441
5,0.9316,0.9338,0.9328,0.8601,0.9065,0.8785
6,0.9346,0.9364,0.935,0.8886,0.917,0.892
7,0.9392,0.9369,0.9362,0.8983,0.9205,0.8996
8,0.9412,0.936,0.9369,0.8975,0.9244,0.8986
