,0,1,2,3,4
0,0.9161,0.9309,0.9201,0.9267,0.9303
1,0.9155,0.9306,0.9199,0.9221,0.9268
2,0.9053,0.9306,0.9087,0.9153,0.9188
3,0.9068,0.9306,0.9123,0.9176,0.9218
