,0,1,2,3,4
0,0.9175,0.9353,0.929,0.9254,0.9261
1,0.9208,0.9356,0.9319,0.9278,0.9258
2,0.9212,0.9416,0.9214,0.9242,0.9299
3,0.9221,0.9425,0.9272,0.9303,0.9329
