,0,1,2,3,4,5
0,0.9305,0.9395,0.9323,0.9287,0.9343,0.9089
1,0.9304,0.9388,0.9308,0.9299,0.9372,0.9084
2,0.9455,0.9501,0.9456,0.9333,0.9442,0.9164
3,0.9405,0.9477,0.9401,0.9339,0.9417,0.9139
4,0.9238,0.9299,0.9274,0.9274,0.9309,0.9045
