,AUC,AUPR,ACC,MCC,F1
0,0.9116,0.8213,0.8566,0.6483,0.7486
1,0.9146,0.8348,0.8623,0.6564,0.7511
2,0.9087,0.821,0.8492,0.6287,0.7338
3,0.9143,0.8332,0.858,0.6487,0.7474
4,0.9103,0.8263,0.8588,0.6464,0.7429
