,AUC,AUPR,ACC,MCC,F1
0,0.5592,0.484,0.5915,0.0969,0.3004
1,0.6126,0.5473,0.6266,0.1938,0.4016
2,0.5098,0.4067,0.5313,-0.076,0.1762
3,0.6138,0.521,0.589,0.0956,0.3223
4,0.5762,0.4851,0.599,0.1284,0.375
