,AUC,AUPR,ACC,MCC,F1
0,0.9737,0.9392,0.9387,0.8356,0.8761
1,0.9753,0.9432,0.9414,0.8431,0.8821
2,0.9742,0.9422,0.9376,0.8332,0.8747
3,0.9724,0.9349,0.9409,0.8407,0.8794
4,0.9806,0.9553,0.9493,0.8644,0.8981
