,AUC,AUPR,ACC,MCC,F1
0,0.9034,0.9058,0.829,0.658,0.8289
1,0.8948,0.8953,0.8097,0.6234,0.8198
2,0.9119,0.91,0.8428,0.6862,0.8462
3,0.9158,0.9196,0.851,0.7026,0.854
4,0.9145,0.9138,0.8453,0.6906,0.8443
