,AUC,AUPR,ACC,MCC,F1
0,0.5847,0.6611,0.5445,0.1133,0.55
1,0.5527,0.6175,0.498,0.0653,0.4315
2,0.5502,0.6294,0.5166,0.0831,0.4848
3,0.6048,0.6733,0.545,0.1342,0.5261
4,0.6035,0.6792,0.5789,0.1395,0.6328
