,AUC,AUPR,ACC,MCC,F1
0,0.9466,0.8648,0.9093,0.7544,0.8135
1,0.9512,0.8756,0.9099,0.7563,0.8153
2,0.9492,0.867,0.9078,0.7492,0.8086
3,0.947,0.868,0.9102,0.7548,0.8117
4,0.9537,0.8781,0.9139,0.7659,0.8212
