,Uniprot_id,DrugBank_id,Affinity
0,P37231,DB00987,-5.902
0,P37231,DB00552,-5.466
0,P37231,DB01667,-6.174
0,P37231,DB00452,-6.503
0,P37231,DB01421,-6.823
0,P37231,DB06678,-7.606
0,P37231,DB01073,-6.706
0,P37231,DB01629,-6.216
0,P37231,DB09095,-8.328
0,P37231,DB03615,-6.109
