,Uniprot_id,DrugBank_id,Affinity
0,Q00534,DB03496,-9.88
0,Q00534,DB09073,-9.931
0,Q00534,DB11730,-8.387
0,Q00534,DB12001,-9.321
0,Q00534,DB15442,-11.18
