,Uniprot_id,DrugBank_id,Affinity
0,P07949,DB06616,-8.863
0,P07949,DB11800,-9.981
0,P07949,DB00619,-10.73
0,P07949,DB11973,-9.035
0,P07949,DB11828,-9.008
0,P07949,DB11718,-8.488
0,P07949,DB01254,-9.594
0,P07949,DB12267,-9.67
0,P07949,DB09079,-9.074
0,P07949,DB11986,-11.1
