,Uniprot_id,DrugBank_id,Affinity
0,Q00534,DB12010,-9.162
0,Q00534,DB06195,-8.436
0,Q00534,DB11718,-8.796
0,Q00534,DB01017,-6.828
0,Q00534,DB01254,-8.928
0,Q00534,DB04216,-8.592
0,Q00534,DB02587,-6.412
0,Q00534,DB12695,-5.825
0,Q00534,DB06616,-7.798
0,Q00534,DB14989,-9.457
