,Uniprot_id,DrugBank_id,Affinity
0,P07949,DB00398,-10.93
0,P07949,DB05294,-8.942
0,P07949,DB08875,-10.65
0,P07949,DB08896,-11.07
0,P07949,DB08901,-10.76
0,P07949,DB09078,-9.436
0,P07949,DB12010,-8.406
0,P07949,DB15685,-9.803
0,P07949,DB15822,-10.3
