,Uniprot_id,DrugBank_id,Affinity
0,O00444,DB02587,-6.328
0,O00444,DB04216,-8.134
0,O00444,DB12695,-6.154
0,O00444,DB00945,-5.735
0,O00444,DB11718,-7.411
0,O00444,DB01254,-8.525
0,O00444,DB01017,-6.586
0,O00444,DB08912,-8.466
0,O00444,DB06616,-7.941
0,O00444,DB01593,-1.25
