lr,wd,b_size,n_hidden,epochs,mean_acc,mean_auc,mean_aupr,mean_mcc,mean_f1,mean_recall,mean_precision
0.001,1e-05,128.0,256.0,50.0,0.9125,0.96538,0.96852,0.8253199999999999,0.9115,0.9009600000000001,0.9223800000000001
0.001,1e-05,128.0,256.0,100.0,0.91446,0.9669000000000001,0.97034,0.82918,0.91378,0.90648,0.9213800000000001
0.001,1e-05,128.0,256.0,150.0,0.91446,0.9670400000000001,0.97112,0.82914,0.9138399999999999,0.90708,0.92086
0.001,1e-05,128.0,256.0,200.0,0.9151800000000001,0.96764,0.9712999999999999,0.8305,0.9145999999999999,0.9082800000000001,0.92104
0.001,1e-05,128.0,256.0,250.0,0.91524,0.9676600000000001,0.9715,0.83064,0.9145,0.9066000000000001,0.9225800000000002
0.001,1e-05,128.0,256.0,300.0,0.91508,0.9679800000000001,0.97198,0.8303200000000001,0.9145399999999999,0.90858,0.9206799999999999
