,AUC,AUPR,ACC,MCC,F1
0,0.9741,0.9408,0.9377,0.8352,0.8769
1,0.9749,0.9416,0.9375,0.8345,0.8763
2,0.9729,0.9417,0.9377,0.8344,0.876
3,0.9716,0.9357,0.9317,0.8208,0.8664
4,0.9774,0.9468,0.9385,0.8389,0.8799
