,AUC,AUPR,ACC,MCC,F1
0,0.9337,0.812,0.8902,0.6662,0.7326
1,0.9346,0.8152,0.8949,0.6759,0.7402
2,0.9388,0.8239,0.8941,0.6799,0.7435
3,0.9382,0.828,0.8994,0.6834,0.7455
4,0.9364,0.819,0.8926,0.6682,0.734
