From src:'1'	To src:'2'
CHEMBL1483	DB00518
CHEMBL4650319	DB16390
CHEMBL216647	DB08031
CHEMBL3989914	DB06302
CHEMBL95431	DB11960
CHEMBL608	DB01599
CHEMBL1892145	DB13793
CHEMBL1203	DB16884
CHEMBL176687	DB16868
CHEMBL273862	DB12385
CHEMBL306280	DB16138
CHEMBL17962	DB00117
CHEMBL259664	DB12379
CHEMBL600	DB06151
CHEMBL3642985	DB16943
CHEMBL111	DB06155
CHEMBL3544988	DB11682
CHEMBL4297346	DB13135
CHEMBL103043	DB04059
CHEMBL216913	DB12967
CHEMBL1950553	DB12443
CHEMBL2104988	DB12435
CHEMBL1233274	DB07891
CHEMBL3681419	DB11877
CHEMBL3188202	DB01612
CHEMBL1236970	DB14532
CHEMBL559	DB00509
CHEMBL1233464	DB02178
CHEMBL54922	DB00172
CHEMBL1096146	DB12016
CHEMBL1961796	DB14013
CHEMBL1615784	DB11180
CHEMBL1331216	DB00424
CHEMBL3971095	DB11713
CHEMBL527018	DB07233
CHEMBL601773	DB13345
CHEMBL418052	DB01752
CHEMBL3087323	DB12741
CHEMBL4297419	DB05531
CHEMBL184023	DB08226
CHEMBL369075	DB05738
CHEMBL286398	DB01839
CHEMBL2104482	DB13027
CHEMBL1908318	DB12538
CHEMBL3137313	DB12013
CHEMBL3400972	DB13848
CHEMBL2103825	DB06586
CHEMBL351132	DB02591
CHEMBL2107784	DB05861
CHEMBL3426621	DB13165
CHEMBL324794	DB14186
CHEMBL531048	DB13469
CHEMBL1639	DB09026
CHEMBL104943	DB03994
CHEMBL286991	DB17028
CHEMBL67	DB14680
CHEMBL1055	DB00310
CHEMBL3120215	DB12387
CHEMBL1161626	DB03916
CHEMBL298445	DB02833
CHEMBL2037002	DB14830
CHEMBL1865135	DB13850
CHEMBL1083185	DB08555
CHEMBL460291	DB09236
CHEMBL227745	DB07085
CHEMBL23	DB00343
CHEMBL501122	DB06590
CHEMBL194859	DB07635
CHEMBL1078261	DB12278
CHEMBL231950	DB07540
CHEMBL302795	DB00469
CHEMBL1097235	DB08961
CHEMBL573352	DB06656
CHEMBL4297321	DB05968
CHEMBL3990047	DB12924
CHEMBL211614	DB07757
CHEMBL116	DB00701
CHEMBL1823872	DB09099
CHEMBL452461	DB12365
CHEMBL134713	DB05708
CHEMBL2356023	DB01070
CHEMBL282724	DB06268
CHEMBL1234300	DB08179
CHEMBL3545185	DB11942
CHEMBL455983	DB17257
CHEMBL2151437	DB12145
CHEMBL44884	DB00330
CHEMBL282093	DB14059
CHEMBL507870	DB06402
CHEMBL483083	DB16120
CHEMBL1229971	DB02380
CHEMBL372832	DB07407
CHEMBL103552	DB16768
CHEMBL23194	DB00127
CHEMBL393949	DB07448
CHEMBL4871106	DB15431
CHEMBL238502	DB02641
CHEMBL4297643	DB05611
CHEMBL63895	DB07482
CHEMBL305785	DB07295
CHEMBL50267	DB01931
CHEMBL27759	DB11841
CHEMBL2106991	DB12894
CHEMBL1595	DB01551
CHEMBL2104921	DB13556
CHEMBL1605650	DB13792
CHEMBL3984441	DB16256
CHEMBL2165615	DB15009
CHEMBL288149	DB11905
CHEMBL14245	DB02145
CHEMBL4208229	DB12597
CHEMBL269671	DB13132
CHEMBL1983268	DB11986
CHEMBL67133	DB02544
CHEMBL316561	DB13431
CHEMBL38	DB00755
CHEMBL249530	DB08535
CHEMBL490866	DB02673
CHEMBL3989871	DB15011
CHEMBL12	DB00829
CHEMBL1234613	DB14128
CHEMBL4594416	DB16287
CHEMBL17423	DB12082
CHEMBL1200500	DB00394
CHEMBL43068	DB00161
CHEMBL505	DB01114
CHEMBL21485	DB01795
CHEMBL1729803	DB13835
CHEMBL2110700	DB13695
CHEMBL1738962	DB14197
CHEMBL1476500	DB00778
CHEMBL294199	DB06774
CHEMBL454	DB00241
CHEMBL4297524	DB12323
CHEMBL236345	DB12892
CHEMBL3251336	DB04627
CHEMBL418068	DB13174
CHEMBL2105348	DB13832
CHEMBL1232391	DB01692
CHEMBL2105759	DB11817
CHEMBL1237105	DB00429
CHEMBL195836	DB01526
CHEMBL4297663	DB13141
CHEMBL46058	DB13259
CHEMBL1231124	DB12588
CHEMBL272485	DB13716
CHEMBL3039597	DB00798
CHEMBL2105322	DB13267
CHEMBL379630	DB02556
CHEMBL956	DB00870
CHEMBL1705525	DB06397
CHEMBL1432	DB01672
CHEMBL2107763	DB06609
CHEMBL4297432	DB15356
CHEMBL790	DB00878
CHEMBL1454946	DB08974
CHEMBL2105907	DB08795
CHEMBL2110824	DB06719
CHEMBL15571	DB03594
CHEMBL185073	DB01337
CHEMBL400431	DB07174
CHEMBL103735	DB05513
CHEMBL391586	DB08705
CHEMBL382311	DB08003
CHEMBL1232157	DB02613
CHEMBL135400	DB01198
CHEMBL233149	DB07534
CHEMBL3275586	DB13784
CHEMBL4784318	DB17269
CHEMBL1088752	DB12270
CHEMBL330829	DB08982
CHEMBL62897	DB06857
CHEMBL485652	DB02887
CHEMBL65273	DB08422
CHEMBL132966	DB05855
CHEMBL2041933	DB12242
CHEMBL303958	DB08312
CHEMBL504888	DB14972
CHEMBL1162483	DB03741
CHEMBL451635	DB13750
CHEMBL1163	DB01072
CHEMBL49	DB00490
CHEMBL584	DB00220
CHEMBL1683590	DB08871
CHEMBL2106763	DB08970
CHEMBL243024	DB06943
CHEMBL1511	DB13956
CHEMBL516023	DB07945
CHEMBL3334624	DB16037
CHEMBL30816	DB12803
CHEMBL3182477	DB11497
CHEMBL449325	DB04130
CHEMBL223026	DB08048
CHEMBL4435170	DB16650
CHEMBL1997663	DB13645
CHEMBL207413	DB13640
CHEMBL205437	DB08239
CHEMBL2177913	DB12368
CHEMBL856	DB00794
CHEMBL114500	DB07002
CHEMBL1230906	DB02952
CHEMBL428880	DB01003
CHEMBL2107787	DB12019
CHEMBL1371412	DB11472
CHEMBL575	DB01603
CHEMBL2107313	DB06362
CHEMBL458402	DB11460
CHEMBL46817	DB07562
CHEMBL1500276	DB04822
