Drugbank_ID,Uniprot_id
DB00142,P39086
DB00142,Q04609
DB00142,Q12879
DB00142,Q5JPH6
DB00142,O95954
DB00142,Q8N159
DB00142,O14841
DB00142,Q05586
DB00142,P43003
DB00142,Q9ULA0
DB00142,Q13255
DB00142,Q9Y617
DB00142,P54687
DB00142,Q05329
DB00142,Q13002
DB00142,P54886
DB00142,Q8TD30
DB00142,P00367
DB00142,P49915
DB00142,P07814
DB00142,O94925
DB00142,Q9UPY5
DB00143,P18283
DB00143,Q7RTV2
DB00143,P09211
DB00143,P08684
DB00143,P09210
DB00143,P30711
DB00143,P19440
DB00143,P07203
DB00143,O75715
DB00143,P22352
DB00143,P14780
DB00143,P09488
DB00143,Q9Y2Q3
DB00143,P15121
DB00143,O15217
DB00143,Q16772
DB00143,P21266
DB00143,O43708
DB00143,Q03013
DB00143,Q04760
DB00143,P46439
DB00143,P08263
DB00143,P59796
DB00143,O14880
DB00143,P28161
DB00143,P10768
DB00143,Q16873
DB00143,P10620
DB00143,P48637
DB00143,Q9NS18
DB00143,Q9H4Y5
DB00143,Q99735
DB00143,O60760
DB00143,Q96SL4
DB00143,Q6NSD4
DB00143,P36969
DB00143,P35754
DB00143,Q16775
DB00143,P00390
DB00143,P78417
DB00144,Q8WTV0
DB00144,P49619
DB00144,Q16760
DB00144,P48651
DB00144,Q9BVG9
DB00144,Q9NXE4
DB00144,Q9NY59
DB00144,P17252
DB00144,Q9UG56
DB00144,Q9Y2Q0
DB00145,P48637
DB00145,P13196
DB00145,O75311
DB00145,P41250
DB00145,Q53ET4
DB00145,Q12879
DB00145,P50440
DB00145,O60391
DB00145,P23416
DB00145,P34896
DB00145,O75600
DB00145,Q14957
DB00145,Q9P0Z9
DB00145,Q969I3
DB00145,Q8WU03
DB00145,Q6IB77
DB00145,P22557
DB00145,Q14330
DB00145,Q14032
DB00145,P23415
DB00145,P34897
DB00145,Q9BYV1
DB00145,P48167
DB00145,Q14749
DB00145,P21549
DB00146,P11473
DB00147,O00764
DB00148,P48029
DB00148,P12277
DB00148,P17540
DB00148,P06732
DB00148,P12532
DB00148,Q14353
DB00149,P54687
DB00149,Q9UIC8
DB00149,O60294
DB00149,Q15031
DB00149,O15382
DB00149,Q9P2J5
DB00150,Q9UGM6
DB00150,P23381
DB00151,Q9Y600
DB00151,P35520
DB00151,Q9HA77
DB00151,P48507
DB00151,P49589
DB00151,P00505
DB00151,Q9Y697
DB00151,P48637
DB00151,Q16878
DB00151,P48506
DB00151,P17174
DB00151,P16455
DB00151,P32929
DB00152,Q9H3S4
DB00153,Q8WXS5
DB00153,Q13936
DB00153,Q13698
DB00153,Q9NY47
DB00153,P62955
DB00153,Q8IZS8
DB00153,Q9BXT2
DB00153,Q01668
DB00153,Q9UF02
DB00153,O60840
DB00153,P54289
DB00153,Q9UBN1
DB00153,Q9P0X4
DB00153,Q08289
DB00153,O60359
DB00153,Q7Z3S7
DB00153,O00305
DB00153,Q9Y698
DB00153,Q06432
DB00153,Q00975
DB00153,O00555
DB00153,P11473
DB00153,Q15878
DB00153,O43497
DB00153,O95180
DB00153,Q02641
DB00153,P54284
DB00154,P23219
DB00154,P35354
DB00155,Q9ULW8
DB00155,O94760
DB00155,P29474
DB00155,O95865
DB00155,Q5T6L4
DB00155,Q6TGC4
DB00155,Q9ULC6
DB00155,P00966
DB00155,Q9Y2J8
DB00155,P35228
DB00155,P00480
DB00155,P29475
DB00155,Q9UM07
DB00156,P26639
DB00156,Q9BW92
DB00157,O43676
DB00157,P07864
DB00157,P13995
DB00157,P51649
DB00157,P49189
DB00157,Q02218
DB00157,O43677
DB00157,P05091
DB00157,P07195
DB00157,P00367
DB00157,Q02338
DB00157,O95298
DB00157,O00483
DB00157,P03901
DB00157,P19404
DB00157,P56937
DB00157,Q16795
DB00157,O75489
DB00157,Q00796
DB00157,O43674
DB00157,Q02252
DB00157,O75251
DB00157,P49419
DB00157,Q6ZMR3
DB00157,P07327
DB00157,P30038
DB00157,P32322
DB00157,O95168
DB00157,O15239
DB00157,O96000
DB00157,P14679
DB00157,P16083
DB00157,P40939
DB00157,P56556
DB00157,P21695
DB00157,P14061
DB00157,P48448
DB00157,P23368
DB00157,P03897
DB00157,Q16718
DB00157,Q9NRX3
DB00157,P00352
DB00157,O43837
DB00157,Q16878
DB00157,Q92781
DB00157,P08559
DB00157,P04035
DB00157,Q92506
DB00157,P03915
DB00157,P47895
DB00157,Q08426
DB00157,P30519
DB00157,P40925
DB00157,P42330
DB00157,P30043
DB00157,Q9Y6M9
DB00157,P51648
DB00157,P51659
DB00157,P48163
DB00157,P29803
DB00157,P15428
DB00157,O95182
DB00157,P03905
DB00157,O14561
DB00157,P30837
DB00157,P49821
DB00157,P28331
DB00157,P43353
DB00157,O43181
DB00157,P03886
DB00157,P17568
DB00157,O94788
DB00157,P17516
DB00157,O95178
DB00157,P40394
DB00157,Q9P0J0
DB00157,Q04828
DB00157,P00338
DB00157,Q02928
DB00157,P09417
DB00157,Q86Y39
DB00157,P04406
DB00157,P31937
DB00157,O43678
DB00157,Q99714
DB00157,P00325
DB00157,P52895
DB00157,P49448
DB00157,P20839
DB00157,P16219
DB00157,P51970
DB00157,P51553
DB00157,P40926
DB00157,P08319
DB00157,O95479
DB00157,P00326
DB00157,O43920
DB00157,P05093
DB00157,O75438
DB00157,P37058
DB00157,O95299
DB00157,P00374
DB00157,P28845
DB00157,P00387
DB00157,Q16798
DB00157,Q9UDR5
DB00157,Q9UI09
DB00157,P11586
DB00157,P15121
DB00157,P09622
DB00157,O60701
DB00157,P00390
DB00157,P03891
DB00157,Q13630
DB00157,P80365
DB00157,Q9BYZ2
DB00157,P11177
DB00157,Q15800
DB00157,O95169
DB00157,O95167
DB00157,O75380
DB00157,Q16836
DB00157,P30838
DB00157,O14556
DB00157,P12268
DB00157,O95139
DB00157,Q96C36
DB00157,O75306
DB00157,P09601
DB00157,P53004
DB00157,P03923
DB00157,O43175
DB00157,P48728
DB00157,P14060
DB00157,Q15738
DB00157,P37059
DB00157,Q13423
DB00157,P56181
DB00157,P11766
DB00157,Q9UBM7
DB00157,P10515
DB00157,P50213
DB00157,P26439
DB00157,O00217
DB00158,P15328
DB00158,P14207
DB00158,P41439
DB00159,Q07869
DB00159,Q8NER1
DB00159,P23219
DB00159,O15540
DB00159,P35354
DB00159,Q03181
DB00159,O60427
DB00159,P09917
DB00159,O60488
DB00159,P37231
DB00159,P32418
DB00159,O14842
DB00160,Q9UHI5
DB00160,Q8TD30
DB00160,P24298
DB00160,Q9BYV1
DB00160,Q8IUZ5
DB00160,Q5JTZ9
DB00160,P43007
DB00160,P49588
DB00160,P21549
DB00160,Q16719
DB00160,Q9Y697
DB00160,P80404
DB00160,Q7Z2H8
DB00161,P54687
DB00161,P26640
DB00161,P05166
DB00162,O95237
DB00162,Q9HBH5
DB00162,Q8TC12
DB00162,Q6NUM9
DB00162,Q9NYR8
DB00162,P41222
DB00162,Q92781
DB00162,P47895
DB00162,O75911
DB00162,P05090
DB00162,Q96NR8
DB00162,O94788
DB00162,Q9BTZ2
DB00162,P00352
DB00162,Q8NBN7
DB00163,P62714
DB00163,P09917
DB00163,P23743
DB00163,Q9UDX4
DB00163,Q9UDX3
DB00163,P67775
DB00163,O76054
DB00163,P05771
DB00163,P17252
DB00163,O75469
DB00165,O00764
DB00166,Q9Y289
DB00166,O43766
DB00166,Q9Y234
DB00167,P45954
