Uniprot_id,Family,KEGG,ChEMBL,GtoPdb,score
P00742,Enzymes,1,1,1,3
P00747,Enzymes,1,1,1,3
P00748,Enzymes,1,1,1,3
P00749,Enzymes,1,1,1,3
P00750,Enzymes,1,1,1,3
P00751,Enzymes,1,1,1,3
P00797,Enzymes,1,1,1,3
P00813,Enzymes,1,1,1,3
P00846,Others,0,0,0,0
P00915,Enzymes,1,1,1,3
P00918,Enzymes,1,1,1,3
P00966,Enzymes,1,0,0,1
P01011,Others,0,0,0,0
P01019,Others,0,0,0,0
P01023,Others,0,0,0,0
P01024,Others,0,0,0,0
P01031,Others,0,0,0,0
P01042,Others,0,0,0,0
P01100,Others,0,0,0,0
P01106,Enzymes,0,1,0,1
P01116,Enzymes,0,1,1,2
P01133,Others,0,0,0,0
P01137,Others,0,0,0,0
P01138,Others,0,0,0,0
P01189,Others,0,0,0,0
P01303,Others,0,0,0,0
P01308,Others,0,0,0,0
P01350,Others,0,0,0,0
P01375,Others,0,0,0,0
P01579,Others,0,0,0,0
P01584,Others,0,0,0,0
P01591,Others,0,0,0,0
P01889,Others,0,0,0,0
P02452,Others,0,0,0,0
P02533,Others,0,0,0,0
P02538,Others,0,0,0,0
P02585,Others,0,0,0,0
P02647,Others,0,0,0,0
P02649,Others,0,0,0,0
P02652,Others,0,0,0,0
P02655,Others,0,0,0,0
P02656,Others,0,0,0,0
P02671,Others,0,0,0,0
P02675,Others,0,0,0,0
P02679,Others,0,0,0,0
P02708,IC,1,1,1,3
P02743,Others,0,0,0,0
P02746,Others,0,0,0,0
P02747,Others,0,0,0,0
P02748,Others,0,0,0,0
P02749,Others,0,0,0,0
P02750,Others,0,0,0,0
P02751,Others,0,0,0,0
P02753,Others,0,0,0,0
P02763,Others,0,0,0,0
P02765,Others,0,0,0,0
P02766,Others,0,0,0,0
P02768,Others,0,0,0,0
P02775,Others,0,0,0,0
P02786,Others,0,0,0,0
P02787,Others,0,0,0,0
P02788,Enzymes,0,1,0,1
P02790,Others,0,0,0,0
P02792,Others,0,0,0,0
P02794,Enzymes,1,0,0,1
P02795,Others,0,0,0,0
P02818,Others,0,0,0,0
P03372,NR,1,1,1,3
P03886,Enzymes,1,1,0,2
