,AUC,AUPR,ACC,MCC,F1
0,0.8098,0.8376,0.7244,0.4536,0.7334
1,0.7991,0.8309,0.6979,0.4314,0.6761
2,0.8151,0.8476,0.7355,0.491,0.73
3,0.8086,0.8429,0.7269,0.4759,0.719
4,0.8105,0.8484,0.7225,0.465,0.7164
