,AUC,AUPR,ACC,MCC,F1
0,0.8865,0.8918,0.8055,0.611,0.8024
1,0.8761,0.8578,0.7996,0.599,0.7936
2,0.8742,0.8759,0.7892,0.5806,0.7738
3,0.8659,0.864,0.7957,0.5912,0.7911
4,0.8848,0.8819,0.8125,0.6255,0.8124
