,AUC,AUPR,ACC,MCC,F1
0,0.7078,0.9032,0.6472,0.2393,0.7471
1,0.6937,0.8977,0.6328,0.2214,0.7343
2,0.6958,0.9008,0.6309,0.227,0.7316
3,0.7098,0.9064,0.65,0.244,0.7494
4,0.7109,0.9052,0.6592,0.2427,0.7588
