DrugBank_id,Uniprot_id
DB08872,Q00975
DB00230,O43497
DB00617,O43497
DB00996,O43497
DB01244,O43497
DB08872,O43497
DB00230,Q7Z3S7
DB00996,Q7Z3S7
DB01244,Q7Z3S7
DB08872,Q7Z3S7
DB00230,Q9P0X4
DB00347,Q9P0X4
DB00593,Q9P0X4
DB00996,Q9P0X4
DB01244,Q9P0X4
DB05246,Q9P0X4
DB08872,Q9P0X4
DB00230,Q01668
DB00343,Q01668
DB00381,Q01668
DB00528,Q01668
DB00996,Q01668
DB01244,Q01668
DB08872,Q01668
DB09227,Q01668
DB09230,Q01668
DB00232,P55017
DB00310,P55017
DB00606,P55017
DB00774,P55017
DB00651,Q14432
DB00806,Q14432
DB00975,Q14432
DB00252,P35499
DB00280,P35499
DB00296,P35499
DB00297,P35499
DB00379,P35499
DB00532,P35499
DB00645,P35499
DB00680,P35499
DB00721,P35499
DB00740,P35499
DB00750,P35499
DB00754,P35499
DB00794,P35499
DB00807,P35499
DB00892,P35499
DB00908,P35499
DB00961,P35499
DB01002,P35499
DB01035,P35499
DB01056,P35499
DB01121,P35499
DB01173,P35499
DB01182,P35499
DB01228,P35499
DB01320,P35499
DB01438,P35499
DB04855,P35499
DB06201,P35499
DB06218,P35499
DB09119,P35499
DB14575,P35499
DB00296,Q14524
DB00645,Q14524
DB00721,Q14524
DB00794,Q14524
DB00807,Q14524
DB00892,Q14524
DB00961,Q14524
DB01121,Q14524
DB01173,Q14524
DB01438,Q14524
DB04825,Q14524
DB06201,Q14524
DB06218,Q14524
DB09119,Q14524
DB14575,Q14524
DB01250,P09917
DB03585,P23219
DB08951,P23219
DB13167,P23219
DB03585,P35354
DB04817,P35354
DB08951,P35354
DB00767,P14416
DB04836,P14416
DB00450,P28223
DB00831,P28223
DB01038,P28223
DB01100,P28223
DB01191,P28223
DB04832,P28223
DB00340,P28335
DB00679,P28335
DB00831,P28335
DB01038,P28335
DB04832,P28335
DB06288,P28335
DB01191,P41595
DB04832,P41595
DB06288,P41595
DB01191,P08908
DB04832,P08908
DB06288,P08908
DB00252,Q9Y5Y9
DB00280,Q9Y5Y9
DB00379,Q9Y5Y9
DB00532,Q9Y5Y9
DB00680,Q9Y5Y9
DB00740,Q9Y5Y9
DB00750,Q9Y5Y9
DB00754,Q9Y5Y9
DB00794,Q9Y5Y9
DB00908,Q9Y5Y9
