DrugBank_id,Uniprot_id
DB00245,P08912
DB00387,P08912
DB00392,P08912
DB00411,P08912
DB00424,P08912
DB00462,P08912
DB00477,P08912
DB00517,P08912
DB00670,P08912
DB00728,P08912
DB00809,P08912
DB00810,P08912
DB01062,P08912
DB01231,P08912
DB09300,P08912
DB00728,P11229
DB09300,P11229
DB00245,P08173
DB00392,P08173
DB00462,P08173
DB00477,P08173
DB00517,P08173
DB00670,P08173
DB00728,P08173
DB00810,P08173
DB01062,P08173
DB01231,P08173
DB09300,P08173
DB01608,P14416
DB01608,P28223
DB09225,P08908
DB01608,P28335
DB04908,P28335
DB04946,P28335
DB08810,P28335
DB00334,P41595
DB00370,P41595
DB00656,P41595
DB01608,P41595
DB04908,P41595
DB04946,P41595
DB08810,P41595
DB00721,Q14524
DB00807,Q14524
DB00892,Q14524
DB00961,Q14524
DB01002,Q14524
DB01086,Q14524
DB01118,Q14524
DB06201,Q14524
DB09119,Q14524
DB00252,Q9UI33
DB00280,Q9UI33
DB00281,Q9UI33
DB00527,Q9UI33
DB00532,Q9UI33
DB00721,Q9UI33
DB00750,Q9UI33
DB00807,Q9UI33
DB00892,Q9UI33
DB00908,Q9UI33
DB00961,Q9UI33
DB01002,Q9UI33
DB01056,Q9UI33
DB01086,Q9UI33
DB01118,Q9UI33
DB01182,Q9UI33
DB01195,Q9UI33
DB01228,Q9UI33
DB01320,Q9UI33
DB01426,Q9UI33
DB01429,Q9UI33
DB06201,Q9UI33
DB09119,Q9UI33
DB00252,Q9Y5Y9
DB00280,Q9Y5Y9
DB00532,Q9Y5Y9
DB00750,Q9Y5Y9
DB00908,Q9Y5Y9
DB00909,Q9Y5Y9
DB01056,Q9Y5Y9
DB01118,Q9Y5Y9
DB01182,Q9Y5Y9
DB01195,Q9Y5Y9
DB01228,Q9Y5Y9
DB01320,Q9Y5Y9
DB01426,Q9Y5Y9
DB01429,Q9Y5Y9
DB06201,Q9Y5Y9
DB09119,Q9Y5Y9
DB00280,Q9NY46
DB00281,Q9NY46
DB00527,Q9NY46
DB00532,Q9NY46
DB00721,Q9NY46
DB00750,Q9NY46
DB00807,Q9NY46
DB00892,Q9NY46
DB00908,Q9NY46
DB00961,Q9NY46
DB01002,Q9NY46
DB01056,Q9NY46
DB01086,Q9NY46
DB01118,Q9NY46
DB01182,Q9NY46
DB01195,Q9NY46
DB01228,Q9NY46
DB01320,Q9NY46
DB01426,Q9NY46
DB01429,Q9NY46
DB06201,Q9NY46
DB09119,Q9NY46
DB00280,Q99250
DB00281,Q99250
DB00527,Q99250
DB00532,Q99250
DB00721,Q99250
DB00750,Q99250
DB00807,Q99250
DB00892,Q99250
DB00908,Q99250
DB00961,Q99250
DB01002,Q99250
DB01056,Q99250
DB01086,Q99250
DB01118,Q99250
DB01182,Q99250
DB01195,Q99250
DB01228,Q99250
DB01320,Q99250
DB01426,Q99250
DB01429,Q99250
DB06201,Q99250
DB09119,Q99250
DB00252,P35499
DB00280,P35499
DB00527,P35499
DB00532,P35499
DB00721,P35499
DB00750,P35499
DB00807,P35499
DB00892,P35499
DB00908,P35499
DB00961,P35499
DB01002,P35499
DB01056,P35499
DB01086,P35499
DB01118,P35499
DB01182,P35499
DB01228,P35499
DB01320,P35499
DB01426,P35499
DB01429,P35499
DB06201,P35499
DB09119,P35499
DB00280,P35498
DB00281,P35498
DB00527,P35498
DB00532,P35498
DB00721,P35498
DB00750,P35498
DB00807,P35498
DB00892,P35498
DB00908,P35498
DB00961,P35498
DB01002,P35498
DB01056,P35498
DB01086,P35498
DB01118,P35498
DB01182,P35498
DB01195,P35498
DB01228,P35498
DB01320,P35498
DB01426,P35498
DB01429,P35498
DB06201,P35498
DB09119,P35498
DB00252,Q15858
DB00280,Q15858
DB00527,Q15858
DB00532,Q15858
DB00721,Q15858
DB00750,Q15858
DB00807,Q15858
DB00892,Q15858
DB00908,Q15858
DB00961,Q15858
DB01002,Q15858
DB01056,Q15858
DB01086,Q15858
DB01118,Q15858
DB01182,Q15858
DB01195,Q15858
DB01228,Q15858
DB01320,Q15858
DB01426,Q15858
DB01429,Q15858
DB09119,Q15858
DB00280,Q9UQD0
DB00281,Q9UQD0
DB00527,Q9UQD0
DB00532,Q9UQD0
DB00721,Q9UQD0
DB00750,Q9UQD0
DB00807,Q9UQD0
DB00892,Q9UQD0
DB00908,Q9UQD0
DB00909,Q9UQD0
DB00961,Q9UQD0
DB01002,Q9UQD0
DB01056,Q9UQD0
DB01086,Q9UQD0
DB01118,Q9UQD0
DB01182,Q9UQD0
DB01195,Q9UQD0
DB01228,Q9UQD0
DB01320,Q9UQD0
DB01426,Q9UQD0
DB01429,Q9UQD0
DB06201,Q9UQD0
DB09119,Q9UQD0
DB00269,Q92731
DB00882,Q92731
DB00890,Q92731
DB00947,Q92731
DB01357,Q92731
DB02187,Q92731
DB01623,P35462
DB00617,Q13936
DB01244,Q13936
DB09230,Q13936
DB00343,Q13698
DB00381,Q13698
DB00617,Q13698
DB01244,Q13698
DB09230,Q13698
DB12278,Q13698
DB00343,Q01668
DB00381,Q01668
DB00617,Q01668
DB01244,Q01668
DB09230,Q01668
DB12278,Q01668
DB00270,O60840
DB00343,O60840
DB00381,O60840
DB00401,O60840
DB00617,O60840
DB01023,O60840
DB01115,O60840
DB01244,O60840
DB09230,O60840
DB12278,O60840
DB00740,Q13003
DB00740,Q13002
DB00740,P39086
DB00273,P48058
DB00740,P48058
DB08883,P48058
DB00273,P42263
DB00740,P42263
DB08883,P42263
DB00273,P42262
DB00740,P42262
DB08883,P42262
DB00273,P42261
DB00740,P42261
DB00740,Q16478
DB00740,Q16099
DB00276,Q02880
DB00444,Q02880
DB01204,Q02880
DB06013,Q02880
DB00277,O95263
DB00651,O95263
DB01113,O95263
DB01223,O95263
DB01303,O95263
DB00651,P29275
DB01223,P29275
DB00277,P54750
DB00651,P54750
DB01113,P54750
DB01223,P54750
DB01303,P54750
DB00277,O60658
DB00651,O60658
DB01113,O60658
DB01223,O60658
DB01303,O60658
DB00277,Q13946
DB00651,Q13946
DB01113,Q13946
DB01223,Q13946
DB01303,Q13946
DB00277,Q9HCR9
DB00651,Q9HCR9
DB01113,Q9HCR9
DB01223,Q9HCR9
DB01303,Q9HCR9
DB00277,Q9NP56
DB00651,Q9NP56
DB01113,Q9NP56
DB01223,Q9NP56
DB01303,Q9NP56
DB00277,Q9Y233
DB00651,Q9Y233
DB01223,Q9Y233
DB01303,Q9Y233
DB00277,Q14123
DB00651,Q14123
DB01113,Q14123
DB01223,Q14123
DB01303,Q14123
DB04878,P10253
DB00429,P43088
DB09371,P06401
DB00309,Q13509
DB00361,Q13509
DB00541,Q13509
DB01196,Q13509
DB01229,Q13509
DB01248,Q13509
DB01394,Q13509
DB06772,Q13509
DB08871,Q13509
DB00309,P68371
DB00361,P68371
DB00541,P68371
DB01196,P68371
DB01229,P68371
DB01248,P68371
DB01394,P68371
DB04845,P68371
DB06772,P68371
DB08871,P68371
DB00309,Q9BUF5
DB00361,Q9BUF5
DB00541,Q9BUF5
DB01196,Q9BUF5
DB01229,Q9BUF5
DB01248,Q9BUF5
DB01394,Q9BUF5
DB04845,Q9BUF5
DB06772,Q9BUF5
DB08871,Q9BUF5
DB00309,P07437
DB01196,P07437
DB01229,P07437
DB01248,P07437
DB04845,P07437
DB06772,P07437
DB08871,P07437
DB00361,Q9H4B7
DB00541,Q9H4B7
DB01196,Q9H4B7
DB01394,Q9H4B7
DB04845,Q9H4B7
DB00309,Q13885
DB00361,Q13885
DB00541,Q13885
DB01196,Q13885
DB01229,Q13885
DB01248,Q13885
DB01394,Q13885
DB04845,Q13885
DB06772,Q13885
DB08871,Q13885
DB00309,P04350
DB00361,P04350
DB00541,P04350
DB01196,P04350
DB01229,P04350
DB01248,P04350
DB01394,P04350
DB04845,P04350
DB06772,P04350
DB08871,P04350
DB00311,P35218
DB00703,P35218
DB00819,P35218
DB00869,P35218
DB01144,P35218
DB00311,Q9Y2D0
DB00703,Q9Y2D0
DB00819,Q9Y2D0
DB00869,Q9Y2D0
DB01144,Q9Y2D0
DB00869,P43166
DB00311,Q16790
DB00703,Q16790
DB00819,Q16790
DB00869,Q16790
DB01144,Q16790
DB00311,O43570
DB00703,O43570
DB00869,O43570
DB01144,O43570
DB00313,P80404
DB00313,Q99259
DB00313,Q05329
DB00313,Q9P0X4
DB00593,Q9P0X4
DB01244,Q9P0X4
DB05246,Q9P0X4
DB00313,O95180
DB00593,O95180
DB05246,O95180
DB00313,O43497
DB01244,O43497
DB14006,P35354
DB14006,P23219
DB00331,P54646
DB00914,P54646
DB00331,Q13131
DB00514,Q12879
DB00740,Q12879
DB01173,Q12879
DB01221,Q12879
DB00514,Q05586
DB00740,Q05586
DB00949,Q05586
DB01221,Q05586
DB00514,O15399
DB00740,O15399
DB00949,O15399
DB01221,O15399
DB00514,Q13224
DB00740,Q13224
DB01173,Q13224
DB01221,Q13224
DB00514,Q14957
DB00740,Q14957
DB00949,Q14957
DB01173,Q14957
DB00350,Q14654
DB00672,Q14654
DB00731,Q14654
DB00912,Q14654
DB01118,Q14654
DB01124,Q14654
DB01244,Q14654
DB01252,Q14654
DB09220,Q14654
DB00363,Q8WXA8
DB00370,Q8WXA8
DB00377,Q8WXA8
DB00904,Q8WXA8
DB00969,Q8WXA8
DB04885,Q8WXA8
DB09068,Q8WXA8
DB09290,Q8WXA8
DB00363,A5X5Y0
DB00370,A5X5Y0
DB00377,A5X5Y0
DB00904,A5X5Y0
DB00969,A5X5Y0
DB04885,A5X5Y0
DB09068,A5X5Y0
