0,1,2,3,4
0.9151,0.9126,0.9174,0.9149,0.9121
0.9681,0.9678,0.9699,0.9688,0.9677
0.9739,0.9718,0.9733,0.973,0.9721
0.8305,0.8253,0.8349,0.8298,0.8243
0.914,0.912,0.9165,0.9152,0.9116
0.9024,0.9059,0.9074,0.9184,0.9059
0.926,0.9183,0.9259,0.912,0.9173
