0,1,2,3,4
0.8922,0.8949,0.8967,0.8933,0.894
0.9563,0.956,0.959,0.9568,0.956
0.9664,0.967,0.9693,0.9681,0.9674
0.7841,0.7897,0.7926,0.7859,0.7875
0.8995,0.9019,0.9044,0.901,0.9014
0.8806,0.8822,0.8914,0.8864,0.8847
0.9192,0.9225,0.9177,0.9161,0.9188
