0,1,2,3,4
0.6194,0.6269,0.6244,0.6294,0.6318
0.6686,0.6545,0.654,0.6725,0.6659
0.5863,0.5831,0.5675,0.5998,0.5991
0.1733,0.2012,0.1886,0.2023,0.2146
0.2749,0.2718,0.2911,0.3134,0.2952
0.1737,0.1677,0.1856,0.2036,0.1856
0.6591,0.7179,0.6739,0.68,0.7209
