AUC,AUPR,ACC,MCC,F1
0.9251,0.9344,0.8446,0.7015,0.8246
0.9275,0.9359,0.8457,0.7013,0.8274
0.9211,0.9321,0.8392,0.6912,0.8178
0.9258,0.9358,0.8509,0.7118,0.8333
0.9256,0.935,0.8514,0.7123,0.8343
