AUC,AUPR,ACC,MCC,F1
0.939,0.873,0.884,0.7074,0.7844
0.9447,0.8937,0.8914,0.7256,0.7965
0.9369,0.8722,0.8846,0.7089,0.7856
0.9389,0.8812,0.8865,0.7136,0.7886
0.9369,0.8694,0.8813,0.701,0.7805
