AUC,AUPR,ACC,MCC,F1
0.9237,0.5234,0.9399,0.4705,0.5017
0.9272,0.5509,0.9388,0.4786,0.5092
0.9323,0.567,0.9424,0.5073,0.536
0.9301,0.5497,0.94,0.5011,0.5297
0.9303,0.5571,0.9412,0.4891,0.5191
